image_path,prediction,ground_truth,cluster,cluster_keyword
/kaggle/input/oneshot/test_OS/real/real_111.jpg,real face,real,3,"Questo cluster riguarda reveal, wavy, diffused, perfected, irises"
/kaggle/input/oneshot/test_OS/real/real_59.jpg,generated,real,2,"Questo cluster riguarda voluminous, textured, elaborate, headpiece, doll"
/kaggle/input/oneshot/test_OS/real/real_45.jpg,real face,real,3,"Questo cluster riguarda reveal, wavy, diffused, perfected, irises"
/kaggle/input/oneshot/test_OS/real/real_4.jpg,real face,real,4,"Questo cluster riguarda mustache, headset, suit, provide, context"
/kaggle/input/oneshot/test_OS/real/real_73.jpg,real face,real,3,"Questo cluster riguarda reveal, wavy, diffused, perfected, irises"
/kaggle/input/oneshot/test_OS/real/real_106.jpg,real face,real,2,"Questo cluster riguarda voluminous, textured, elaborate, headpiece, doll"
/kaggle/input/oneshot/test_OS/real/real_98.jpg,real face,real,1,"Questo cluster riguarda gaps, dental, child, indicates, pursed"
/kaggle/input/oneshot/test_OS/real/real_94.jpg,real face,real,4,"Questo cluster riguarda mustache, headset, suit, provide, context"
/kaggle/input/oneshot/test_OS/real/real_30.jpg,real face,real,1,"Questo cluster riguarda gaps, dental, child, indicates, pursed"
/kaggle/input/oneshot/test_OS/real/real_6.jpg,real face,real,4,"Questo cluster riguarda mustache, headset, suit, provide, context"
/kaggle/input/oneshot/test_OS/real/real_75.jpg,generated,real,2,"Questo cluster riguarda voluminous, textured, elaborate, headpiece, doll"
/kaggle/input/oneshot/test_OS/real/real_144.jpg,real face,real,1,"Questo cluster riguarda gaps, dental, child, indicates, pursed"
/kaggle/input/oneshot/test_OS/real/real_119.jpg,real face,real,4,"Questo cluster riguarda mustache, headset, suit, provide, context"
/kaggle/input/oneshot/test_OS/real/real_84.jpg,real face,real,4,"Questo cluster riguarda mustache, headset, suit, provide, context"
/kaggle/input/oneshot/test_OS/real/real_53.jpg,real face,real,1,"Questo cluster riguarda gaps, dental, child, indicates, pursed"
/kaggle/input/oneshot/test_OS/real/real_110.jpg,[generated],real,4,"Questo cluster riguarda mustache, headset, suit, provide, context"
/kaggle/input/oneshot/test_OS/real/real_57.jpg,real face,real,1,"Questo cluster riguarda gaps, dental, child, indicates, pursed"
/kaggle/input/oneshot/test_OS/real/real_97.jpg,real face,real,1,"Questo cluster riguarda gaps, dental, child, indicates, pursed"
/kaggle/input/oneshot/test_OS/real/real_46.jpg,[real face],real,1,"Questo cluster riguarda gaps, dental, child, indicates, pursed"
/kaggle/input/oneshot/test_OS/real/real_124.jpg,real face,real,1,"Questo cluster riguarda gaps, dental, child, indicates, pursed"
/kaggle/input/oneshot/test_OS/real/real_41.jpg,real face,real,3,"Questo cluster riguarda reveal, wavy, diffused, perfected, irises"
/kaggle/input/oneshot/test_OS/real/real_47.jpg,real face,real,3,"Questo cluster riguarda reveal, wavy, diffused, perfected, irises"
